No,Kode,Nama Barang,Spesifikasi,Satuan
299,1.1.7.01.03.07.006.00005,Safety Belt,Berbahan Plastik / Besi Dan Kain,BUAH
300,1.1.7.01.03.07.006.00013,Tali Rafia,Bahan Plastik Ukuran Standar,BUAH
301,1.1.7.01.03.07.006.00017,Tali Tambang,Nilon,ROLL
302,1.1.7.01.03.07.006.00024,Tali Ijuk,-,IKAT
303,1.1.7.01.03.07.007.00168,Meter Air,Ukuran 1 Inch,UNIT
304,1.1.7.01.03.07.007.00169,Meter Air,Ukuran 1.5 Inch,UNIT
305,1.1.7.01.03.07.007.00174,Meter air Ukuran 2 inch,-,UNIT
306,1.1.7.01.03.07.007.00175,Meter Air 3 (tiga) inch,-,UNIT
307,1.1.7.01.03.07.008.00014,Kamper Bola,Butiran Pewangi Ruangan,PCS
308,1.1.7.01.03.07.008.00021,Cairan antiseptic,isi 225 ml,BOTOL
309,1.1.7.01.03.07.008.00043,Karbol,800 Ml Wangi,BOTOL
310,1.1.7.01.03.07.008.00049,Karbol,Porstek Pembersih Toilet Wangi,BOTOL
311,1.1.7.01.03.07.008.00062,PEMBERSIH KACA,1 DERIGEN 3700 ML,JERIGEN
312,1.1.7.01.03.07.008.00081,Porstex,-,BOTOL
313,1.1.7.01.03.07.008.00101,Sabun Cuci Tangan,"Isi 3,7 Liter",JERIGEN
314,1.1.7.01.03.07.009.00039,Glass Cleaner,-,GALON
315,1.1.7.01.03.07.009.00070,Pisau,Parsert Knife; Stainless,BUAH
316,1.1.7.01.03.07.012.00003,KAMPER,"WARNA ISI COLOUR BAL, ISI 5 BAL",BUNGKUS
317,1.1.7.01.03.07.012.00023,Pengharum Ruangan,Matic Spray,BUAH
318,1.1.7.01.03.07.013.00004,KUAS ROLL,"IMUNNDEX, BESAR",BUAH
319,1.1.7.01.03.07.013.00008,Kuas Cat,"Mdn, 4""",BUAH
320,1.1.7.01.03.07.013.00010,Kuas Cat,"Mdn, 2 1/2 """,BUAH
321,1.1.7.01.03.07.013.00011,Kuas Cat,"Mdn, 2 """,BUAH
322,1.1.7.01.03.07.013.00013,Kuas Cat,"Mdn, 5""",BUAH
323,1.1.7.01.03.07.013.00014,Kuas Cat,"Sterna, 5""",BUAH
324,1.1.7.01.03.07.013.00022,KUAS CAT,4 INC,BUAH
325,1.1.7.01.03.07.014.00001,Kawat Segel,-,METER
326,1.1.7.01.03.07.014.00002,Kawat Segel baja dengan logo dan nomor seri,-,METER
327,1.1.7.01.03.07.014.00003,Timah Segel,-,BUAH
328,1.1.7.01.03.07.015.00045,Regulator,Elpiji/ Biasa + Selang,BUAH
329,1.1.7.01.03.07.015.00112,"Pipa PVC Tipe AW Diameter 1,5",-,BATANG
330,1.1.7.01.03.07.015.00151,Kantong Plastik,Kiloan,PACK
331,1.1.7.01.03.07.015.00426,Gunting,"Uk. Sedang, Stainless",BUAH
332,1.1.7.01.03.07.015.00469,Gembok,"Bahan Steinlis Steel, Ukuran Besar",SET
333,1.1.7.01.03.07.015.00504,Tissue,Roll,ROLL
334,1.1.7.01.01.04.001.00002,Pertamax,Pertamax,LITER
335,1.1.7.01.01.04.001.00017,Solar non subsidi,-,LITER
336,1.1.7.01.01.04.002.00058,Oli,SAE 40,LITER
337,1.1.7.01.01.04.002.00059,Oli,SAE 90,LITER
338,1.1.7.01.01.04.002.00062,Olie Sae 40,Sae 40 (Liter),LITER
339,1.1.7.01.01.04.002.00067,Gemuk SGX-NL,Pertamina,KG
340,1.1.7.01.01.04.002.00074,Engine Oil,SAE 10W-40/EU-4,LITER
341,1.1.7.01.01.04.002.00086,Gemuk (Grease),Nlgi Grade : 2 ; Soap Lithium 12-Hydroxystearate,PEIL
342,1.1.7.01.01.04.002.00087,Gemuk (Grease),Kemasan 16 Kg,PEIL
343,1.1.7.01.01.04.002.00090,Minyak Pelumas,"Sae 40, Api Service Classification Cd Mesin Diesel",LITER
344,1.1.7.01.01.04.002.00097,Minyak Pelumas,Full Syntethyc 5W-30,GALON
345,1.1.7.01.01.04.002.00108,Oli Meditran,S 40,LITER
346,1.1.7.01.01.04.002.00109,Oli Mesin,Sae 15 W 40,LITER
347,1.1.7.01.01.04.002.00111,Oli Mesin,Manual Sae 10 W 30 Jaso Ma/ Mb,LITER
348,1.1.7.01.01.04.002.00118,Oli Mesin Diesel,-,LITER
349,1.1.7.01.01.04.002.00122,Oli Persneling,Sae 90,LITER
350,1.1.7.01.01.04.003.00050,Oli Hidrolik,Iso Vg 32,LITER
351,1.1.7.01.01.04.003.00056,Oli Transmisi/ Persneling,Manual,LITER
352,1.1.7.01.01.04.003.00092,Oli Rored,"Oli Perseneleng, Sae",LITER
353,1.1.7.01.01.04.003.00093,Oli Rored Hda,90 Uk. 209 Liter,DRUM
354,1.1.7.01.01.04.003.00095,Oli Travo,-,LITER
355,1.1.7.01.01.04.003.00096,Oli Turalik,52,DRUM
356,1.1.7.01.01.05.001.00014,Kawat Las,Uk 2.6 Mm Dan 3.0 Mm Berat 5 Kg,DUS
357,1.1.7.01.01.05.001.00015,Kawat Las,Uk. 3.2 Mm,KG
358,1.1.7.01.01.05.001.00016,Kawat Las,"Nikko Steel Rd-260,Uk 3.2 X 350 Mm, Isi 5 Kg",KOTAK
359,1.1.7.01.01.05.001.00020,Kawat,Beton,KG
360,1.1.7.01.01.05.001.00023,Kawat,Harmonika,M2
361,1.1.7.01.01.05.001.00032,Kawat Las,260 - Uk 3.2 Mm Berat 5 Kg,DUS
362,1.1.7.01.01.05.001.00033,Kawat Duri,"Silet Uk. 7 Meter, Bahan Anti Karat",ROLL
363,1.1.7.01.01.05.001.00036,Kawat Bendrat,-,ROLL
364,1.1.7.01.01.05.002.00005,Kayu,Dolken Gelam,BATANG
365,1.1.7.01.01.05.002.00006,Bambu,Ori D : 6-10/ 600 Cm,BATANG
366,1.1.7.01.01.05.002.00010,Papan Kruing,uk. 2x30x400 cm,LEMBAR
367,1.1.7.01.01.05.002.00011,Kayu Kaso Meranti,Kaso uk 5/7,BATANG
368,1.1.7.01.01.05.002.00012,Balok 5/10,batang,BATANG
369,1.1.7.01.01.05.002.00016,multipleks,memiliki ketebalan 18 mm,LEMBAR
370,1.1.7.01.01.05.002.00037,Meranti Basah,Papan Uk. 3X20X400 Cm,M3
371,1.1.7.01.01.05.002.00045,Terentang,Papan Uk. 3X30X400 Cm,M3
372,1.1.7.01.01.05.002.00047,Kayu Lapis,Triplek Uk.122X244X18 Mm,LEMBAR
373,1.1.7.01.01.05.002.00057,Kayu Lapis,"Multipleks Uk. (0,9 X 122 X 244)Cm",LEMBAR
374,1.1.7.01.01.05.007.00010,Grc,120X240 T 6Mm,LEMBAR
375,1.1.7.01.01.05.007.00011,Gypsum,120X240 T 9 Mm,LEMBAR
376,1.1.7.01.01.05.007.00018,GRC Board tahan Api,-,LEMBAR
377,1.1.7.01.01.05.007.00027,Tepung Gypsum,-,KG
378,1.1.7.01.01.01.002.00007,SEMEN,50 KG,ZAK
379,1.1.7.01.01.01.002.00009,Semen,Putih 40 Kg,ZAK
380,1.1.7.01.01.01.003.00002,Kaca Bening,3 Mm,M2
381,1.1.7.01.01.01.004.00004,Pasir,Beton,M3
382,1.1.7.01.01.01.004.00005,PASIR,PASANG,M3
383,1.1.7.01.01.01.005.00001,Batu Belah,-,M3
384,1.1.7.01.01.01.005.00006,Tanah,Limestone,M3
385,1.1.7.01.01.01.005.00007,Batu Pecah,"Ukuran 0,5/1 Cm",M3
386,1.1.7.01.01.01.005.00009,Batu Pecah,Ukuran 2/3,M3
387,1.1.7.01.01.01.005.00019,Batu Bata,Merah Kelas 1,BUAH
388,1.1.7.01.01.01.005.00022,Bata Ringan,"60 X 20 Cm, Tebal 7 Cm",M2
389,1.1.7.01.01.01.005.00028,Roster,Merah,BUAH
390,1.1.7.01.01.01.005.00040,Batu Kali,Batu Belah,M3
391,1.1.7.01.01.01.005.00069,Paving Block,Warna Natural Fullpave Tebal 8Cm,BUAH
392,1.1.7.01.01.01.005.00070,Paving Block,Warna Natural Truepave Tebal 8Cm 10X20,BUAH
393,1.1.7.01.01.01.005.00071,Paving Block,Warna Khusus Warna Reguler Rectangularpave Tebal 8Cm,BUAH
394,1.1.7.01.01.01.005.00072,Paving Block,Classic Warna Natural Classic End Tebal 8 Cm,M2
395,1.1.7.01.01.01.005.00083,Pasangan Batu Kali,-,M3
396,1.1.7.01.01.01.006.00008,CAT TEMBOK,(LUAR) PUTIH ISI 20 LITER,KALENG
397,1.1.7.01.01.01.006.00013,Cat Tembok,Luar (Weather Sheild),KG
398,1.1.7.01.01.01.006.00016,Cat Tembok,(Dalam) Warna Isi 20 Liter,KALENG
399,1.1.7.01.01.01.006.00019,Cat Tembok,Dalam (Interior),KG
400,1.1.7.01.01.01.006.00020,Cat Tembok,Luar/ Dalam; Putih Dan Warna Isi 25 Kg 1 Kaleng,KALENG
401,1.1.7.01.01.01.006.00021,CAT TEMBOK,ISI 25 KG 1 GALON,KALENG
402,1.1.7.01.01.01.006.00023,Cat Tembok,-,KG
403,1.1.7.01.01.01.006.00026,Cat Tembok,(20 Kg),PIEL
404,1.1.7.01.01.01.006.00027,CAT TEMBOK,(5 KG),GALON
405,1.1.7.01.01.01.006.00031,Cat Tembok,"Cat Dasar, Alkali Setara Cathylac",KG
406,1.1.7.01.01.01.006.00032,Cat Besi,Putih,KG
407,1.1.7.01.01.01.006.00033,Cat Besi,Warna Biasa,KG
408,1.1.7.01.01.01.006.00034,Cat Besi,Warna Khusus,KG
409,1.1.7.01.01.01.006.00035,CAT BESI,UK. 1 KG,KALENG
410,1.1.7.01.01.01.006.00036,Cat Besi,Warna Hitam,KG
411,1.1.7.01.01.01.006.00050,Cat Kayu/ Besi,-,KG
412,1.1.7.01.01.01.006.00068,Cat Anti Karat,-,KG
413,1.1.7.01.01.01.006.00069,Cat Pylox Putih,-,BUAH
414,1.1.7.01.01.01.006.00070,Cat Pylox Merah,-,BUAH
415,1.1.7.01.01.01.006.00176,Cat Minyak Berwarna,5 Kg,KALENG
416,1.1.7.01.01.01.007.00001,Seng Gelombang,Bjls 30 (80 X 240) Cm,LEMBAR
417,1.1.7.01.01.01.007.00016,Asbes Gelombang Kecil,-,LEMBAR
418,1.1.7.01.01.01.008.00008,Baja Wf,Lebih kecil sama dengan 200Mm,KG
419,1.1.7.01.01.01.008.00009,Baja Wf,Lebih kecil sama dengan 250Mm,KG
420,1.1.7.01.01.01.012.00009,Besi Siku,Uk. 40.40.3 Panjang 6 M,BATANG
421,1.1.7.01.01.01.012.00015,Besi Siku L,Uk. 60.60.6,KG
422,1.1.7.01.01.01.012.00021,Besi Unp,120,BATANG
423,1.1.7.01.01.01.012.00024,Besi Wiremesh,Um10 Diam 10 Mm,LEMBAR
424,1.1.7.01.01.01.012.00027,Besi Hollow,20X20 Mm,M
425,1.1.7.01.01.01.012.00031,Besi Hollow,30X30 Mm Diam Tebal 2Mm,BATANG
426,1.1.7.01.01.01.012.00035,Besi Hollow,40X40 Mm Dia. Tebal 2 Mm,BATANG
427,1.1.7.01.01.01.012.00036,Besi Hollow,"40X40 Mmx6 M, Tb 2,1 Mm",BATANG
428,1.1.7.01.01.01.012.00039,Besi Hollow,50X50 Mm Dia. Tebal 2 Mm,BATANG
429,1.1.7.01.01.01.012.00048,Besi Bulat,"Uk. 1,25""",BATANG
430,1.1.7.01.01.01.012.00053,Besi Siku L40;L50;L60;L70,-,KG
431,1.1.7.01.01.01.012.00058,Besi hollow,"Ukuran 40 mm x 60 mm x 6 m, tebal 2 mm",BATANG
432,1.1.7.01.01.01.012.00060,Besi Plat,Panjang 6 Meter,KG
433,1.1.7.01.01.01.012.00075,Besi Beton,Ulir,KG
434,1.1.7.01.01.01.012.00082,Besi Beton,Polos Diameter 8,KG
435,1.1.7.01.01.01.012.00083,Besi Beton,Polos Diameter 10,KG
436,1.1.7.01.01.01.012.00084,Besi Beton,Polos Diameter 12,KG
437,1.1.7.01.01.01.012.00088,Besi Beton,Ulir Diameter 13,KG
438,1.1.7.01.01.01.012.00112,Besi Plat,Hitam,KG
439,1.1.7.01.01.01.012.00118,Besi Plat,Tebal 3 Mm,KG
440,1.1.7.01.01.01.012.00119,Besi Plat,T : 10 Mm,M2
441,1.1.7.01.01.01.013.00014,Keramik,Floor/ Wall Tile Uk. 33.3X33.3 Cm,M2
442,1.1.7.01.01.01.013.00048,Keramik Lantai Motif,20 X 20 Cm,M2
443,1.1.7.01.01.01.013.00054,Keramik Dinding Motif,20 X 33,M2
444,1.1.7.01.01.01.013.00057,LIST KERAMIK DINDING,UK. 80 CM X 25 CM,BUAH
445,1.1.7.01.01.01.013.00070,Grass Block,Uk. 40X40X8,M2
446,1.1.7.01.01.01.014.00004,Genteng Plentong,Glazzur,BUAH
447,1.1.7.01.01.01.014.00009,Metal Roof,"Imw Type 2X 4 Panjang 770 Mm , Lebar 800 Mm Tebal 0,30 Mm Berpasir",LEMBAR
448,1.1.7.01.01.01.014.00011,Metal Roof,"Spandek Hi Ten Colorbond Tebal 0,45 Mm",M2
449,1.1.7.01.01.01.014.00017,Nok Genteng Kodok,-,BUAH
450,1.1.7.01.01.01.014.00030,Nok Metal Roof Imw,kotak panjang 914 mm T. 0.25,LEMBAR
451,1.1.7.01.01.01.014.00034,Asbes Gelombang Besar,Uk. 250 Cm X 92 Cm X 5 Mm,LEMBAR
452,1.1.7.01.01.01.015.00003,Buis Beton,"Bulat, Buis Beton Dia. 30 Cm Tanpa Tulang; Panjang 1,00 M",BUAH
453,1.1.7.01.01.01.015.00015,U-Ditch,Panjang Efektif 1.20 M U 1000/ 1000,UNIT
454,1.1.7.01.01.01.015.00017,U-Ditch,Panjang Efektif 1.20 M U 1200/ 1200,UNIT
455,1.1.7.01.01.01.015.00025,Box Culvert,"Bc 1200X1200 High Duty Panjang 1,00 M",UNIT
456,1.1.7.01.01.01.015.00051,Saluran U Ditch,"Terpasang, Ukuran 300 x 400 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
457,1.1.7.01.01.01.015.00056,Saluran U Ditch,"Terpasang, Ukuran 1000 x 1000 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
458,1.1.7.01.01.01.015.00064,Tutup Saluran U Ditch HD,"Terpasang, Ukuran 300 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
459,1.1.7.01.01.01.015.00068,Tutup Saluran U Ditch HD,"Terpasang, Ukuran 1000 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
460,1.1.7.01.01.01.016.00005,Plat Strip,Uk. 4 X 30 Mm,M
461,1.1.7.01.01.01.016.00010,Plat Bordes,t : 3 mm,KG
462,1.1.7.01.01.01.016.00011,Plat Bordes,t : 6 mm,KG
463,1.1.7.01.01.01.018.00002,Corrugated sheet pile W 350 - 1000 type B panjang 15 m,-,M
464,1.1.7.01.01.01.019.00002,Kawat Bronjong,Uk. 100 x 50 x 200,UNIT
465,1.1.7.01.01.01.020.00007,Karung Plastik,-,BUAH
466,1.1.7.01.01.01.021.00006,Thinner,"Oven, Semi Oven",KALENG
467,1.1.7.01.01.01.021.00020,Meni Besi,-,KG
468,1.1.7.01.01.01.021.00036,Thinner,-,LITER
469,1.1.7.01.01.01.022.00028,Mata Gerinda Poles,-,PCS
470,1.1.7.01.01.01.023.00007,AMPLAS,-,LEMBAR
471,1.1.7.01.01.01.023.00011,Amplas,0 S/D 1000,LEMBAR
472,1.1.7.01.01.01.024.00007,Sekrup,Mata Tutup Rrt Uk. 3,KOTAK
473,1.1.7.01.01.01.024.00019,Mur Baut,Biasa,BUAH
474,1.1.7.01.01.01.024.00021,Mur Baut,"Htb; 16Mm, 19Mm, 20Mm, 22Mm, 25Mm, 28Mm, 32 Mm",BUAH
475,1.1.7.01.01.01.024.00022,Mur Baut,Ukuran 19,PASANG
476,1.1.7.01.01.01.024.00024,Dynabolt,12 Mm; Mur Baut,BUAH
477,1.1.7.01.01.01.024.00040,Ring Baut,-,BUAH
478,1.1.7.01.01.01.026.00006,Meteran,7 M,BUAH
479,1.1.7.01.01.01.027.00009,Paku Asbes,-,KG
480,1.1.7.01.01.01.027.00011,Paku,Beton Hitam,KG
481,1.1.7.01.01.01.027.00018,Paku,Reng,KG
482,1.1.7.01.01.01.027.00020,Paku,"Biasa 2"" - 5""",KG
483,1.1.7.01.01.01.027.00023,Paku,Sekrup,KG
484,1.1.7.01.01.02.002.00787,Soda Api,-,KG
485,1.1.7.01.05.01.002.00004,Pagar Brc,"Dia 7 Mm, Tinggi 175 Cm (Hdg)",M
486,1.1.7.01.05.01.004.00057,Hard Disk Eksternal,"2.5 Inch Usb 3.0, Usb 3.0, 1Tb, Windows/ Mac",UNIT
487,1.1.7.01.05.01.004.00060,Hard Disk Eksternal,1 Tb,BUAH
488,1.1.7.01.05.01.004.00100,Meteran dorong,walking meter,BUAH
489,1.1.7.01.05.01.004.00168,Router Wireless,-,SET
490,1.1.7.01.05.01.004.00250,Tactical Multi Tools,"Ikat pinggang/Kopel dilengkapi dengan Taktikal Baton (tongkat), Peralatan Multi Fungsi ( senter, penggaris, pemotong tang, pembuka botol dll) dan tas Multi fungsi",SET
491,1.1.7.01.05.01.004.00252,Dongkrak Botol,6 Ton,PCS
492,1.1.7.01.05.01.004.00265,Mesin Gerinda Tangan,4 Inch,UNIT
493,1.1.7.01.05.01.004.00282,TROLI BARANG,TROLLEY FOURTNEY (MAX. LOAD 200KG),UNIT
494,1.1.7.01.05.01.004.00293,Tandu Lipat,Alat Bantu Angkat Korban Berbahan Kanvas Dengan Tongkat Dikedua Sisi,BUAH
495,1.1.7.01.05.01.004.00311,Pompa Oli/ Bbm Manual,"Volume 72 Putaran/ 20 Liter, Impeler Plastik, Berat 5,6 Kg, Aplikasi Bisa Untuk Bbm, Minyak Tanah, Oli, Thinner Dll",UNIT
496,1.1.7.01.05.01.004.00330,Modem,2G / 3G,UNIT
497,1.1.7.01.05.01.004.00337,DVR,DVR CCTV,UNIT
498,1.1.7.01.05.01.004.00338,CCTV Outdoor,HD1080p,UNIT
499,1.1.7.01.05.01.004.00366,Patch Panel 24 port,24 port Cat 6,SET
500,1.1.7.01.05.01.004.00400,Tangga Allumunium,Tangga Lipat Allumunium,UNIT
501,1.1.7.01.05.01.004.00446,Regulator Oksigen,Standart Sni,BUAH
502,1.1.7.01.05.01.004.00502,Rubber Packing,5mm x 1m x 1m,BUAH
503,1.1.7.01.05.01.007.00002,Antivirus Internet Security,Antivirus Internet Security,USER
504,1.1.7.01.05.01.009.00018,Tenda,Min. 4 orang,BUAH
505,1.1.7.02.01.06.002.00001,Tiang Pagar Brc,"Dia 1.5"" Tinggi 175 Cm (Hdg)",BUAH
506,1.1.7.02.01.06.003.00046,Pintu,Pvc,UNIT
507,1.1.7.02.01.06.003.00078,Engsel,Pintu,SET
508,1.1.7.02.01.06.003.00082,Accesories Pintu/ Jendela,Grendel Tanam 30 12,BUAH
509,1.1.7.01.09.02.001.00057,Instalasi dan konfigurasi Peralatan CCTV,-,PAKET
510,1.1.7.02.02.03.004.00006,Klem Pipa,-,BUAH
511,1.1.7.02.02.03.004.00017,"Pipa Optik dia. 1 1/2""",-,BATANG
512,1.1.7.02.02.06.001.00005,Pipa Pvc Dia. 3/ 4,Type Aw,BATANG
513,1.1.7.02.02.06.001.00006,Pipa Pvc Dia. 1,Type Aw,BATANG
514,1.1.7.02.02.06.001.00052,Pipa Fleksibel,"Pipa Fleksibel 3/ 4""",M
515,1.1.7.02.02.06.001.00102,Knee 90 Ukuran 1/ 2,Type Aw,BUAH
516,1.1.7.02.02.06.001.00103,Knee 90 Ukuran 3/ 4,Type Aw,BUAH
517,1.1.7.02.02.06.001.00104,Knee 90 Ukuran 1,Type Aw,BUAH
518,1.1.7.02.02.06.001.00105,Knee 90 Ukuran 1 1/ 4,Type Aw,BUAH
519,1.1.7.02.02.06.001.00107,Knee 90 Ukuran 2,Type Aw,BUAH
520,1.1.7.02.02.06.001.00109,Knee 90 Ukuran 4,Type Aw,BUAH
521,1.1.7.02.02.06.001.00122,Pipa Pvc Dia. 2,Type Aw,BATANG
522,1.1.7.02.02.06.001.00124,Pipa Pvc Dia. 3,Type Aw,BATANG
523,1.1.7.02.02.06.001.00143,"Reducing Socket 1"" x 1-1/2""",Type AW,BUAH
524,1.1.7.02.02.06.001.00147,"Faucet Elbow with Metal Insert 1/2""",Type Type AWAW,BUAH
525,1.1.7.02.02.06.001.00152,"Reducing Socket 3/4"" x 1/2""",Type AW,BUAH
526,1.1.7.02.02.06.001.00158,"Socket 2""",Type AW,BUAH
527,1.1.7.02.02.06.001.00159,"Faucet Socket with Metal Insert 1/2""",Type AW,BUAH
528,1.1.7.02.02.06.001.00166,"Reducing Socket 1"" x 3/4""",Type AW,BUAH
529,1.1.7.02.02.06.001.00172,"Socket 1/2""",Type AW,BUAH
530,1.1.7.02.02.06.001.00180,"Socket 3/4""",Type AW,BUAH
531,1.1.7.02.02.06.001.00186,"Socket 4""",Type AW,BUAH
532,1.1.7.02.02.06.001.00214,Perlengkapan Pipa Pvc Aw 1,35% Dari Harga Pipa,SET
533,1.1.7.02.02.06.001.00215,Perlengkapan Pipa Pvc Aw 1 1/2,35% Dari Harga Pipa,SET
534,1.1.7.02.02.06.001.00216,Perlengkapan Pipa Pvc Aw 2,35% Dari Harga Pipa,SET
535,1.1.7.02.02.06.003.00001,flange PVC,-,BUAH
536,1.1.7.02.02.06.003.00031,Sock Drat Pvc,"Spesifikasi: Dia. 2""",BUAH
537,1.1.7.01.02.05.004.00006,Antena GPS,GPS,UNIT
538,1.1.7.01.02.05.004.00007,Antena GSM,GSM,UNIT
539,1.1.7.01.02.01.001.00528,Ban Luar (Tyre) Pola Rib 10.00 - 20 - 16,Ban Untuk Dump Truck Uk.10.00,UNIT
540,1.1.7.01.02.01.001.00529,Ban Dalam (Tube) 10.00 - 20,Ban Untuk Dump Truck Uk.10.00,UNIT
541,1.1.7.01.02.01.001.00530,Ban Luar (Tyre) Pola Rib 9.00 - 20 - 14,Ban Untuk Dump Truck Uk.9.00,UNIT
542,1.1.7.01.02.01.001.00532,Ban Luar (Tyre) Pola Rib 7.50 - 16 - 14,Pengadaan Ban Untuk Dump Truck Uk.7.50,UNIT
543,1.1.7.01.02.01.001.00533,Ban Dalam (Tube) 7.50 - 16,Pengadaan Ban Untuk Dump Truck Uk.7.50,UNIT
544,1.1.7.01.02.01.001.00664,Ban Dalam Truck,Uk. 700 - 16 Tubeless,BUAH
545,1.1.7.01.02.01.001.00925,Roda,Besar,PCS
546,1.1.7.01.02.01.001.01181,Flue diameter 1 inchi spesifikasi : bahan material terbuat dari PVC,-,BUAH
547,1.1.7.01.02.01.001.01182,Flue diameter 2 inchi spesifikasi : Flug sock diameter2 inchi,-,BUAH
548,1.1.7.01.02.01.001.01290,Mekanik Creeper,XLPA-4,PCS
549,1.1.7.01.02.01.001.01646,Ban Sepeda Motor Dalam,Uk. 2.75 - R 17,BUAH
550,1.1.7.01.02.01.001.01662,Ban Dalam,750- R 16,BUAH
551,1.1.7.01.02.01.001.03735,Ban Luar,Ukuran 205/65 R 15 Tubeless,BUAH
552,1.1.7.01.02.01.001.03743,Ban Luar,205/70 R 15,UNIT
553,1.1.7.01.02.01.001.03759,Ban Dalam Pick Up,Uk. 165 R13,PCS
554,1.1.7.01.02.01.001.03771,Ban Luar,Uk. 165 R13,PCS
555,1.1.7.01.02.01.001.03773,Ban Luar,Uk. 195 R14,PCS
556,1.1.7.01.02.01.001.03774,Ban Luar,Ban Luar Ukuran 750 R 15 12 Pr,BUAH
557,1.1.7.01.02.01.001.03783,Ban Flap,(Flap 20 R 1000),BUAH
558,1.1.7.01.02.01.001.03784,Ban Flap,Ukuran : 750 - 16 - 14 Pr,BUAH
559,1.1.7.01.02.01.001.03807,Ban kendaraan roda 2 patroli petugas lapangan Dalops,"Ban Luar Sepeda Motor, Ukuran 90/100R16",BUAH
560,1.1.7.01.02.01.001.03808,Ban kendaraan roda 2 patroli petugas lapangan Dalops,"Ban Luar Sepeda Motor, Ukuran 70/100R19",BUAH
561,1.1.7.01.02.01.001.03844,Ban Flap,Flap 16 L (750 R 16),BUAH
562,1.1.7.01.02.08.001.00012,Kunci Oli Filter,"M/Rantai 24""",PCS
563,1.1.7.01.02.08.001.00013,Kunci Oli Filter,"M/Rantai 15""",PCS
564,1.1.7.01.02.08.001.00014,Kunci Oli Filter,"M/Sabuk 11""",PCS
565,1.1.7.01.02.08.001.00015,Kunci Oli Filter,"M/Sabuk 9""",PCS
566,1.1.7.01.02.08.001.00016,Kunci Oli Filter,"M/Rantai 12""",PCS
567,1.1.7.01.02.08.001.00017,Mata Gerinda Potong,-,PCS
568,1.1.7.01.02.08.001.00023,Kunci Ring,6 Mm - 24 Mm (8 Pcs),SET
569,1.1.7.01.02.08.001.00027,Kunci Roda,41mm x 21mm,PCS
570,1.1.7.01.02.08.001.00028,cutik Ban,"24""",PCS
571,1.1.7.01.02.08.001.00029,Kunci L Bintang,TM - 219,PCS
572,1.1.7.01.02.08.001.00030,Catok F,120 x 400mm,PCS
573,1.1.7.01.02.08.001.00031,Socket Male,50 -70mm,PCS
574,1.1.7.01.02.08.001.00032,Ratcher Lashing (Side belt),15 Mtr,PCS
575,1.1.7.01.02.08.001.00033,Selang Hidrolik,"Diameter dalam 1,5 inc",M
576,1.1.7.01.02.08.001.00034,Socket Female,35 - 50mm,PCS
577,1.1.7.01.02.08.001.00036,Socket Female,50 - 70mm,PCS
578,1.1.7.01.02.08.001.00037,Socket Male,35 - 50mm,PCS
579,1.1.7.01.02.08.001.00049,Mata Gerinda,Uk. 4 Inchi,BUAH
580,1.1.7.01.02.08.001.00051,Batu Gerinda Potong,"Uk, 4""X6""",BUAH
581,1.1.7.01.02.08.001.00088,PoE Injector,-,BUAH
582,1.1.7.01.02.08.002.00002,Godam,"bahan matrial, besi baja 5 kg, gagang panjang",BUAH
583,1.1.7.01.02.08.002.00048,Obeng Set,Min (-) Dan Plus (+) 10 Pcs,SET
584,1.1.7.01.02.08.002.00056,Alat tambal ban,500 watt,UNIT
585,1.1.7.01.02.08.002.00057,Alat tambal ban tubles,-,BUAH
586,1.1.7.01.02.08.002.00059,Karet tambal ban,-,LEMBAR
587,1.1.7.01.02.08.002.00061,Catok F,120 x 300mm,PCS
588,1.1.7.01.02.08.002.00064,KUNCI PIPA,-,BUAH
589,1.1.7.01.02.08.002.00073,Mata Bor Beton,Lokal,SET
